,portfolio_basis,portfolio_delta,percent_change
2017-01-28,251586971.8,-32870979.25,-0.13065453673861502
2017-01-29,251586971.8,-32870979.25,-0.13065453673861502
2017-01-30,251586971.8,-42997378.94,-0.1709046324313682
2017-01-31,251631971.8,-43264555.63,-0.17193584472003093
2017-02-01,251631971.8,-43020222.03,-0.17096484887140243
2017-02-02,251720877.04000002,-43342479.559999995,-0.1721846835656488
2017-02-03,251735877.04000002,-42622800.379999995,-0.16931555756443636
2017-02-04,251735877.04000002,-32863107.46,-0.13054598274356483
2017-02-05,251735877.04000002,-32863107.46,-0.13054598274356483
2017-02-06,251735877.04000002,-42937022.41,-0.17056377865113537
2017-02-07,251780877.04000002,-42945846.32,-0.17056834031592186
2017-02-08,251810877.04000002,-42678718.24,-0.16948719110819233
2017-02-09,251925877.04000002,-41858615.93,-0.16615449124090503
2017-02-10,251940877.04000002,-41396504.48,-0.16431039284437982
2017-02-11,252050877.04000002,-32863107.46,-0.13038283320388797
2017-02-12,252050877.04000002,-32863107.46,-0.13038283320388797
2017-02-13,252050877.04000002,-40609961.17000002,-0.16111811094216225
2017-02-14,252080877.04000002,-40321625.61,-0.15995511473725074
2017-02-15,252095877.04000002,-39486889.269999996,-0.15663441121543856
2017-02-16,252309911.62,-39201115.190000005,-0.15536890698547026
2017-02-17,252374911.62,-39215130.150000006,-0.15538442350817377
2017-02-18,252389911.62,-32862583.51,-0.13020561439665676
2017-02-19,252389911.62,-32862583.51,-0.13020561439665676
2017-02-20,252389911.62,-32853720.66,-0.13017049869039451
2017-02-21,252389911.62,-38809107.57,-0.1537664771182743
2017-02-22,252419911.62,-38300100.510000005,-0.151731692892984
2017-02-23,252584911.62,-38368440.059999995,-0.15190313551952456
2017-02-24,252674911.62,-38319794.480000004,-0.1516565069096748
2017-02-25,252674911.62,-32862583.51,-0.13005875137861858
2017-02-26,252674911.62,-32862583.51,-0.13005875137861858
2017-02-27,252674911.62,-38190280.430000015,-0.15114393504739682
2017-02-28,252689911.62,-38797331.650000006,-0.15353731932260195
2017-03-01,252689911.62,-36804114.29000001,-0.1456493219458114
2017-03-02,252689911.62,-37359568.24000001,-0.14784748627472732
2017-03-03,253378617.24,-37512818.59,-0.14805045113364043
2017-03-04,253378617.24,-32862583.51,-0.1296975406526613
2017-03-05,253378617.24,-32862583.51,-0.1296975406526613
2017-03-06,253378617.24,-37872946.220000006,-0.14947175350683511
2017-03-07,253528617.24,-38178127.129999995,-0.15058705224530572
2017-03-08,253628617.24,-38267893.23000002,-0.15088160652545146
2017-03-09,253643617.24,-38358677.220000006,-0.15123060314860853
2017-03-10,253643617.24,-37774768.95,-0.14892852168346565
2017-03-11,253673617.24,-32862583.51,-0.12954671387410693
2017-03-12,253673617.24,-32862583.51,-0.12954671387410693
2017-03-13,253673617.24,-37481779.11,-0.14775592163586557
2017-03-14,253688617.24,-37859878.65,-0.14923759316399668
2017-03-15,253703617.24,-36967091.599999994,-0.14570975377552323
2017-03-16,253703617.24,-37273120.48,-0.14691599940705677
2017-03-17,254851322.69,-36729865.74000001,-0.1441227196794974
2017-03-18,254861263.28,-32835719.770000003,-0.12883762462530632
2017-03-19,254861263.28,-32835719.770000003,-0.12883762462530632
2017-03-20,254861263.28,-36677237.74,-0.14391060166607209
2017-03-21,254861263.28,-38258355.95,-0.15011444052981862
2017-03-22,254861263.28,-38209294.08,-0.1499219363047018
2017-03-23,254991263.28,-38147641.09,-0.1496037181795949
2017-03-24,255086263.28,-38452181.87,-0.15074187600526442
2017-03-25,255151263.28,-32838199.23,-0.12870090787661023
2017-03-26,255151263.28,-32838199.23,-0.12870090787661023
2017-03-27,255151263.28,-38620318.02,-0.15136244094397652
2017-03-28,255151263.28,-37944421.400000006,-0.14871343732427553
2017-03-29,255151263.28,-37832469.21,-0.14827466940064918
2017-03-30,255181263.28,-37491188.91,-0.14691983427036506
2017-03-31,255181263.28,-37556211.1,-0.14717464212406184
2017-04-01,255181263.28,-32838199.23,-0.12868577734866052
2017-04-02,255181263.28,-32838199.23,-0.12868577734866052
2017-04-03,255181263.28,-37980173.14000002,-0.14883605736494032
2017-04-04,255181263.28,-38197798.15,-0.1496888825575219
2017-04-05,255231263.28,-38523660.059999995,-0.15093629034675832
2017-04-06,255386263.28,-38300042.830000006,-0.14996907953505967
2017-04-07,255386263.28,-38366263.35000001,-0.15022837507879608
2017-04-08,255402500.34,-32836087.040000003,-0.1285660359483073
2017-04-09,255402500.34,-32836087.040000003,-0.1285660359483073
2017-04-10,255402500.34,-38304156.92,-0.14997565360170037
2017-04-11,255417500.34,-38194972.40000002,-0.1495393712222406
2017-04-12,255447500.34,-38674399.230000004,-0.1513986207675725
2017-04-13,255462500.34,-39535262.02000001,-0.15475955166563296
2017-04-14,255475553.55,-32836087.040000003,-0.12852927250267623
2017-04-15,255475553.55,-32836087.040000003,-0.12852927250267623
2017-04-16,255475553.55,-32836087.040000003,-0.12852927250267623
2017-04-17,255475553.55,-38546169.780000016,-0.15088007147602095
